,Tweets
0,"Only one makes it through to The Final... who ya got?

Adelaide, you won't wanna miss this! Get your tickets now 🎟… "
1,": Warne won 1 World Cup.
Warner won 2 World Cups.
Looking forward to seeing an Aussie kid named Warnest win 3 World Cups.…"
2,_cricket: Rohit Sharma moves to Number 13 position in the latest ICC T20I Batting Rankings.
3,16 is the number of teams that qualified for the finals of the FIFA World Cup from 1934 through 1978 (although for… 
4,A special coaching event organised by  and  held at Rydal Penrhos was hailed as a tremendo… 
5,__hassan: No ICC Cricket World Cup song can beat this. 
6,": OTD in 1976.  3-0 . A team full of 1974 World Cup winners, Harold Schumacher &amp; Bundesliga calendar year…"
7,Abu Dhabi T10 is in full-swing as the greatest go head-to-head to win the ultimate prize. Download Jazz Cricket to… 
8,Ben Stokes made to wait as rain hits England's Ashes preparations Persistent rain saw play abandoned without a ball… 
9,"_Mystical:  I stopped watching these grown children a long time ago. LET ME ASK YOU.. WILL you die if cricket, movies VA…"
10,: TRUE✅  contacted Roberto Mancini for the job as new manager. Mancini said NO ❌ he said it is his duty to qualify with…
11,: Thank You Harsha for sharing this beautiful film. Loved the way the struggles and hardships of both the father and daught…
12,": 🇮🇳 THE GABBA VICTORY
[ A THREAD ]

Australia 🇦🇺 hadn't lost a test match at Gabba since 1988
The main reason, it's pitch,…"
13,": Former Indian cricket captain &amp; BJP MP Gautam Gambhir has received death threat from 'ISIS Kashmir'

Why terrorists are plannin…"
14,The  play Latvia at _official's Keepmoat Stadium on Tuesday 30 November (kick off: 7.00pm) in a FIFA… 
15,": International centuries in the last 2 years since 24th November 2019. Cricket

1 - Yasir Shah (15 inns)
0 - Virat Koh…"
16,: Two Norwegian journalists reporting in Qatar arrested — and released 36 hours later — while covering a year to go the World…
17,"_althani: Qatar at night is beautiful 🇶🇦

World Cup 2022 in Qatar 🇶🇦 "
18,Norway journalists arrested while working in World Cup host Qatar 
19,"• Most Runs since 2020
       (Runs/Inn | Avg)     
     
B Azam 🇵🇰     2410 / 54 | 48.20
M Rizwan 🇵🇰 2114 / 55  |… "
20,_Germany: Our T20 champions MSC Frankfurt will be representing the DCB at next year’s European Cricket League at  in…
21,_cricket: Ajinkya Rahane confirms that Shreyas Iyer will making his Debut for India in Test Cricket on tommorow.
22,Who won that series? I guess Pakistan 😏
23,": OnThisDay in 2009

Umar Akmal, playing his first Test match, scored a brilliant century (129 off 160 balls) in the fir…"
24,"Let's call this what it is. The top pay-to-play cricketing institutions in the UK. 

It's a garbage system, massive… "
25," Why post this same news again and again.
Cricket Australia literally begging for WIPL now"
26,": 🇮🇳 THE GABBA VICTORY
[ A THREAD ]

Australia 🇦🇺 hadn't lost a test match at Gabba since 1988
The main reason, it's pitch,…"
27,_don_: Rohit Sharma moves to 13 rank in icc Men's T20i Ranking 
28,": Foreign LGBT+ football fans ‘will be welcome’ in Qatar for WorldCup, English FA insists. But criticism mounts. Pride f…"
29,Test match starts tomorrowwwww
30,_Lage_Tumhe: This stare between Rahul Dravid and Shoaib Akhtar 🔥🥵🥵... Test cricket was at its best ... 
31,": Highest % of team runs for India in Tests at Home:-
[min. 1500 runs]

17.4% Rohit Sharma
16.2% Virat Kohli
16.1% Virende…"
32,: Babar Azam remains at the top of the T20I Batting Rankings whilst Mohammad Rizwan has moved up to the number 4 positio…
33,": ➡️ICC rewarding Virat Kohli with biggest awards: 
ICC Men's Cricketer of the Decade
ICC Men's ODI Cricketer of the Decade…"
34,": Presenting the most man of the series awards won in T20Is in a calendar year 🙌

Mohammad Rizwan's tally of 3️⃣ awards in 2021…"
35,": Stereo Hearts × Virat Kohli

Back to old times....
My hearts a stereo
It beats for you, so listen close
Virat Kohli as a capt…"
36,_venkat: Rohit Sharma to be blamed for this for not winning IPL this year! Thst prize money would hv helped Ambani..
37,  congrats on winning the T20 WC 2021 in one match.... ola hu ubar
38,South Africa A 488/7 * v India A Cricket
39,Thank God you knocked 20 balls off the short format of the game and have a shitty local Radio DJ at Hundred matches… 
40,"Backbone of Pakistan cricket 🇵🇰
BabarAzam PAKvBAN "
41,"_00__0: Wow 😱 introducing the world's most powerful male Ejaculator ♨️ 

👌Relex your hand ...
👌 Feeling amazing must try once get d…"
42,": Expected, was never leaving the European Champions 12 months before a World Cup! mufc"
43,    7-0 in world cup 😂
44,"Theguardian:  Norwegian journalists reporting on World Cup workers arrested in Qatar
qatar football sport
 "
45,": Highest Test Average at Home:-
[min. 1500 runs]

98.2: Don Bradman
79.5: Rohit Sharma

RohitSharma INDvNZ"
46,": Kanpur's Green Park had the unique distinction of
hosting - India's 500th Test match on 22-26 Sept 2016 (against New Zea…"
47,If true this needs investigation.
